0,25760,36567,36769
0,24064,17313,62740
0,55743,20775,17927
0,5447,36567,36769
0,42525,18718,38992
0,28053,17423,36927
0,7224,1243,19711
0,84482,39428,34711
0,42855,58625,1710
0,30548,2907,11554
1,75065,20173,64267
1,64672,15274,19271
1,63352,34457,28174
1,11809,51024,2229
1,15389,49320,31541
1,36169,35365,8163
1,76341,51889,63328
1,14379,38322,30440
1,12486,57497,51816
1,13904,57227,28174
2,55737,34372,24332
2,52273,26103,11381
2,59702,27969,16074
2,54036,34372,24332
2,12814,15769,49906
2,82494,24392,23251
2,57243,5425,47298
2,75334,15357,8026
2,1046,42416,61151
2,25923,3602,20395
3,64605,7164,9996
3,83787,25458,43279
3,62351,20595,11824
3,71561,8346,33938
3,74108,29764,6786
3,30277,5588,821
3,59103,34521,45119
3,44407,12961,3860
3,36124,5588,38591
3,79779,18193,1706
4,61716,9268,22223
4,77290,16752,32970
4,4775,40683,59072
4,20932,59646,21877
4,31393,46491,62787
4,48134,12779,5380
4,29311,49451,42123
4,80406,35795,64223
4,49074,29690,41537
4,64047,46533,647
5,46009,45293,44467
5,24427,60107,25754
5,1251,5085,46421
5,1913,6589,9583
5,69126,50274,56240
5,5878,37796,10468
5,28545,55818,14178
5,75946,7960,26711
5,61469,21534,63656
5,70786,31362,65011
6,27805,2549,8111
6,24710,55626,41858
6,43517,28246,12076
6,2935,40196,21934
6,45704,41059,60892
6,31125,1631,45153
6,72034,54838,53361
6,71616,41471,4906
6,77118,60026,49615
6,42764,28482,59474
7,84668,22543,38223
7,16640,35057,25891
7,55099,19685,57933
7,36368,52555,16723
7,30609,32440,35384
7,74029,19685,57933
7,83041,46468,11299
7,47413,618,8457
7,43344,44368,25891
7,83860,23567,25891
8,65023,22518,3349
8,40939,15897,26009
8,24256,20956,29534
8,10266,38692,63220
8,25685,11158,31938
8,11020,32733,49543
8,9071,23870,60915
8,16909,50752,39268
8,38232,9386,46080
8,41868,10102,12402
9,37039,18992,27719
9,41677,58934,22948
9,53924,18975,13362
9,17656,47092,52621
9,34321,40771,12256
9,3996,5281,47826
9,18718,8346,30178
9,49278,1462,42622
9,45959,58585,14835
9,70104,4097,29253
10,3090,38897,7203
10,46573,21511,40582
10,13736,12781,49888
10,66050,56578,57310
10,59695,43582,61861
10,1369,3095,12491
10,85085,44416,38559
10,30164,16099,4401
10,58900,55122,20911
10,49124,14656,10418
11,5232,54312,15235
11,3528,543,35972
11,61088,31332,7458
11,10552,15687,14239
11,11573,31199,58592
11,43444,48512,23841
11,38867,58576,59283
11,36190,9579,63825
11,78395,49273,25250
11,48266,33370,53775
12,23745,41907,28746
12,56746,41147,3326
12,19409,458,1956
12,83099,34773,5335
12,42025,59500,21201
12,57008,51270,20449
12,30466,4316,8487
12,63515,4105,4962
12,39982,16048,44209
12,14328,33644,52543
13,42845,46292,22162
13,14728,57834,48899
13,7387,33568,24084
13,48025,22388,7040
13,75241,30453,24548
13,3285,44428,12741
13,21229,44428,12741
13,34639,4492,43745
13,17194,2599,65129
13,44361,30453,24548
14,49554,15291,2341
14,7284,17871,32287
14,29612,27205,14077
14,55935,47136,60672
14,8683,58326,11990
14,56510,21364,11990
14,49166,38348,60672
14,54572,34913,32576
14,54118,39641,16783
14,14175,45677,54604
15,2188,52472,5371
15,22802,29462,4804
15,81443,41988,12930
15,69046,8309,49729
15,22520,18394,21431
15,17171,10579,10259
15,18260,11782,25609
15,12210,46072,8757
15,49342,56971,12281
15,55984,20726,55104
16,35587,2549,51338
16,13941,54367,23526
16,17290,20016,44209
16,427,35706,19887
16,81594,11013,45076
16,12556,9882,50133
16,62525,13458,33369
16,58980,22764,45658
16,35587,49168,51338
16,34519,45422,12235
17,84684,26960,14117
17,1065,7458,6819
17,40179,30052,15227
17,64482,47541,56605
17,42347,58800,19729
17,39038,31237,21401
17,58772,30057,65678
17,25348,26408,39157
17,4607,60026,5508
17,20649,10902,17225
18,7353,60201,16247
18,16736,10670,5335
18,30979,43024,13892
18,79210,41129,22958
18,28136,6464,50471
18,18481,19989,18139
18,51138,40440,53544
18,10749,48018,26630
18,47634,26444,12446
18,70467,45714,40957
19,65590,41292,10194
19,81841,27727,44704
19,31845,49074,2175
19,25502,8943,27899
19,25502,54751,44457
19,80642,59398,63496
19,54673,7879,22229
19,57485,54751,44457
19,31260,49074,2175
19,54288,44449,10450
20,10600,15361,18253
20,49507,45024,64384
20,12666,50000,9868
20,71463,25947,946
20,54750,17610,62884
20,49507,46804,22590
20,62445,50694,6668
20,31011,49493,50091
20,77740,47668,48351
20,53427,28572,13675
21,50887,58435,19283
21,81017,11624,63567
21,50336,37141,15754
21,12855,50837,62736
21,76520,32702,33975
21,30715,10703,3264
21,20790,32702,34600
21,3997,58435,31805
21,20868,45502,20048
21,68944,52066,62991
22,48947,50518,15571
22,21959,10950,44654
22,50169,37901,63981
22,46127,10950,44654
22,54529,23652,40917
22,81649,34595,46783
22,66202,50518,15571
22,3479,47362,47482
22,15287,56568,13846
22,72050,3291,5368
23,36037,9552,55392
23,63830,55717,41778
23,79662,44065,17326
23,12105,39719,66130
23,79606,18558,3722
23,24796,7584,20160
23,4637,55717,64457
23,9157,43941,5775
23,48049,27950,66347
23,58872,35251,63751
24,82325,23574,11837
24,27470,35683,48293
24,72400,43317,12292
24,71941,23574,57748
24,80393,51812,7283
24,70621,3072,45280
24,61394,55905,57748
24,80575,30761,25698
24,6586,23574,41163
24,83651,51931,55128
25,38476,7899,55234
25,21865,58261,4177
25,19026,54091,42339
25,42425,15510,37315
25,21988,15544,6644
25,85240,55356,59038
25,43112,6734,1655
25,59402,24533,47146
25,64771,16705,48790
25,79932,40927,60178
26,9672,37184,31196
26,54783,42124,27115
26,452,37604,48413
26,2444,48834,4178
26,45293,57522,8672
26,8652,44709,65958
26,54996,44046,32364
26,61482,11626,46351
26,74483,26018,10582
26,20926,30251,31051
27,3607,1487,14012
27,57023,29805,43655
27,61791,18596,25469
27,51614,56020,53600
27,9275,42865,41054
27,80552,31811,64287
27,66455,12155,28358
27,15968,56020,25773
27,2307,1487,25469
